date,temperature_2m,relative_humidity_2m,rain,cloud_cover,wind_speed_10m,Nível
2022-06-01 03:00,11.307,96.095985,0.5,100.0,5.6920996,3.03
2022-06-01 04:00,11.107,98.027794,0.0,100.0,1.2979984,3.0
2022-06-01 05:00,11.157,97.70335,0.1,100.0,2.3051248,2.98
2022-06-01 06:00,11.107,97.70244,0.0,100.0,2.16,2.96
2022-06-01 07:00,11.057,99.66876,0.2,100.0,1.609969,2.95
2022-06-01 08:00,10.957,99.0084,0.0,100.0,2.7416782,2.92
2022-06-01 09:00,10.907,98.67929,0.0,100.0,0.5091169,2.91
2022-06-01 10:00,10.957,99.668495,0.1,100.0,1.835647,2.9
2022-06-01 11:00,11.107,97.70244,0.0,100.0,1.0182338,2.89
2022-06-01 12:00,11.107,95.77028,0.1,100.0,1.835647,2.88
2022-06-01 13:00,11.807,92.97263,0.1,100.0,2.6208394,2.88
2022-06-01 14:00,12.507,90.57679,0.0,100.0,3.0758414,2.86
2022-06-01 15:00,12.807,90.89825,1.1,100.0,3.563818,2.86
2022-06-01 16:00,12.557,99.346214,4.0,100.0,2.5455842,2.88
2022-06-01 17:00,12.557,99.67262,3.7,100.0,2.9024127,2.88
2022-06-01 18:00,12.507,100.0,3.3,100.0,3.9763298,2.88
2022-06-01 19:00,12.557,100.0,3.3,100.0,1.484318,2.97
2022-06-01 20:00,12.457,100.0,1.5,100.0,5.0142193,2.91
2022-06-01 21:00,12.307,100.0,3.3,100.0,2.4149535,2.92
2022-06-01 22:00,12.007,100.0,1.6,100.0,1.609969,2.92
2022-06-01 23:00,11.957,100.0,3.7,100.0,2.6208394,2.92
2022-06-02 00:00,12.307,100.0,1.4,100.0,3.0758414,2.97
2022-06-02 01:00,11.957,100.0,1.6,100.0,2.0364676,3.06
2022-06-02 02:00,12.107,99.01727,0.7,100.0,1.8,3.09
2022-06-02 03:00,11.957,100.0,0.1,100.0,1.1384199,3.15
2022-06-02 04:00,12.057,100.0,0.0,100.0,1.08,3.18
2022-06-02 05:00,11.907,100.0,0.1,100.0,3.2599385,3.23
2022-06-02 06:00,11.857,100.0,0.6,100.0,3.563818,3.27
2022-06-02 07:00,11.907,100.0,1.1,100.0,1.1384199,3.31
2022-06-02 08:00,11.607,100.0,0.5,100.0,1.8,3.36
2022-06-02 09:00,11.907,100.0,0.5,100.0,0.5091169,3.4
2022-06-02 10:00,12.207,97.40032,1.7,100.0,0.8049845,3.43
2022-06-02 11:00,12.107,100.0,2.2,100.0,4.3349743,3.46
2022-06-02 12:00,12.707,99.67302,2.2,100.0,4.5536795,3.5
2022-06-02 13:00,12.907,99.673515,1.6,100.0,4.1046314,3.52
2022-06-02 14:00,13.107,99.349,1.2,100.0,4.198285,3.54
2022-06-02 15:00,13.807,99.35255,0.7,100.0,5.1919937,3.55
2022-06-02 16:00,14.207,99.35454,0.6,100.0,5.495161,3.58
2022-06-02 17:00,14.707,99.35703,0.5,100.0,3.8268526,3.62
2022-06-02 18:00,14.807,99.6783,0.5,100.0,2.1897945,3.63
2022-06-02 19:00,14.707,99.35703,0.9,100.0,0.0,3.66
2022-06-02 20:00,14.457,100.0,0.2,100.0,2.16,3.68
