date,temperature_2m,relative_humidity_2m,rain,cloud_cover,wind_speed_10m,Nível
2023-07-07 03:00,12.757,95.194885,0.0,90.0,3.5455887,1.69
2023-07-07 04:00,11.557,96.74347,0.0,93.0,2.4149535,1.69
2023-07-07 05:00,11.807,95.159836,0.0,88.0,1.609969,1.69
2023-07-07 06:00,12.207,93.612434,0.0,57.0,3.0547013,1.69
2023-07-07 07:00,12.707,93.94609,0.0,96.0,0.35999998,1.68
2023-07-07 08:00,11.807,97.07054,0.0,100.0,2.2768397,1.69
2023-07-07 09:00,12.707,94.56777,0.0,100.0,2.7416782,1.69
2023-07-07 10:00,12.457,97.085205,0.0,100.0,2.3051248,1.68
2023-07-07 11:00,13.007,94.26957,0.0,43.0,0.8049845,1.68
2023-07-07 12:00,13.157,96.466805,0.0,95.0,1.9386592,1.71
2023-07-07 13:00,15.057,90.75373,0.0,93.0,1.4399999,1.66
2023-07-07 14:00,16.857,86.03729,0.0,99.0,1.484318,1.65
2023-07-07 15:00,18.257,80.56345,0.0,100.0,1.835647,1.65
2023-07-07 16:00,18.907,77.35196,0.0,100.0,2.8116899,1.62
2023-07-07 17:00,19.257,76.17119,0.0,96.0,3.7585104,1.63
2023-07-07 18:00,19.707,75.02898,0.0,91.0,3.8268526,1.65
2023-07-07 19:00,20.157,76.55823,0.0,74.0,4.1046314,1.68
2023-07-07 20:00,18.907,89.019615,0.0,76.0,3.671294,1.69
2023-07-07 21:00,16.507,93.51592,0.0,39.0,6.193674,1.7
2023-07-07 22:00,14.607,98.080536,0.0,51.0,6.725354,1.71
2023-07-07 23:00,16.057001,95.92723,0.0,100.0,8.64,1.7
2023-07-08 00:00,16.607,93.82069,0.0,100.0,10.390226,1.7
2023-07-08 01:00,16.657,92.03657,0.0,99.0,14.386494,1.71
2023-07-08 02:00,15.857,93.48434,0.0,100.0,6.519877,1.71
2023-07-08 03:00,15.807,93.18106,0.0,100.0,8.350138,1.71
2023-07-08 04:00,15.657,94.38321,0.0,100.0,9.983106,1.71
2023-07-08 05:00,15.457,96.52836,0.0,100.0,7.754637,1.72
